(.*)\n(.*)\n(.*)\n(^\s*$)\n(.*)\n(^\s*$)\n\$(.*)
"$1", "$2", "$3", "$5", "$7"

"September 28, 2021", "Payment received thank you!", "mycredit Mastercard", "Transfer", "+800.00"
"September 28, 2021", "Online Mastercard transfer", "Chequing Account", "Transfer", "800.00"
"September 27, 2021", "Interac e-transfer", "Chequing Account", "Transfer", "36.00"
"September 27, 2021", "Square Alice & Bro", "Chequing Account", "Miscellaneous", "17.00"
"September 26, 2021", "BC Liquor", "mycredit Mastercard", "Alcohol/bars", "58.39"
"September 26, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "41.16"
"September 24, 2021", "Whole Foods", "Chequing Account", "Groceries", "50.39"
"September 23, 2021", "Mycredit reward program", "mycredit Mastercard", "Transfer", "+6.78"
"September 23, 2021", "Educacentre", "Chequing Account", "Shopping", "+949.41"
"September 22, 2021", "Wave", "Chequing Account", "Gifts", "+2,348.77"
"September 20, 2021", "Uber", "mycredit Mastercard", "Car rentals & taxis", "23.74"
"September 20, 2021", "Interac e-transfer", "Chequing Account", "Transfer", "55.00"
"September 18, 2021", "Steamworks Vancouver", "mycredit Mastercard", "Miscellaneous", "60.54"
"September 18, 2021", "Walmart", "mycredit Mastercard", "Shopping", "117.33"
"September 18, 2021", "Walmart", "mycredit Mastercard", "Shopping", "+4.47"
"September 18, 2021", "Square Monstercat Compoun Vancouver", "mycredit Mastercard", "Miscellaneous", "14.00"
"September 18, 2021", "Square Monstercat Compoun Vancouver", "mycredit Mastercard", "Miscellaneous", "14.00"
"September 18, 2021", "Square Monstercat Compoun Vancouver", "mycredit Mastercard", "Miscellaneous", "14.00"
"September 18, 2021", "The Wine Thief Vancouver", "mycredit Mastercard", "Alcohol/bars", "21.25"
"September 18, 2021", "The Wine Thief Vancouver", "mycredit Mastercard", "Alcohol/bars", "21.50"
"September 16, 2021", "Sport Chek", "mycredit Mastercard", "Shopping", "55.98"
"September 16, 2021", "American Eagle Outfitters", "mycredit Mastercard", "Clothing", "80.56"
